wine,rating,reviewer
Alto 3 2008 Reserve Torront챕s (Argentina),81,Michael Schachner
Aluv�?2014 Lewis Vineyard Chardonnay (Walla Walla Valley (WA)),87,Sean P. Sullivan
Alvarez de Toledo 2012 Marqu챕s de Toro Finca la Moura Menc챠a (Vino de la Tierra de Castilla y Le처n),90,Michael Schachner
Alvarez de Toledo 2012 Se챰or챠o de la Antigua Finca Cabanela Menc챠a (Vino de la Tierra de Castilla y Le처n),90,Michael Schachner
Amador Cellars 2013 Cooper & Karmere Vineyards Barbera (Amador County),90,Jim Gordon
Amiran Vepkhvadze 2014 Otskhanuri Sapere,90,Mike DeSimone
Analivia 2009 Verdejo (Rueda),84,Michael Schachner
Andeluna 2015 1300 Chardonnay (Valle de Uco),80,Michael Schachner
Andr�?Kientzler NV Edelzwicker White (Alsace),86,Anne Krebiehl?�MW
Andr�?Kientzler NV Edelzwicker White (Alsace),84,Anne Krebiehl?�MW
Anecoop NV Flare M챕todo Charmat Moscatel (Valencia),82,Michael Schachner
Anemoi 2012 Boreas Red (Grand Valley),87,Alexander Peartree
Angela Estate 2012 Abbott Claim Pinot Noir,94,Paul Gregutt
Angela Estate 2012 Pinot Noir,88,Paul Gregutt
Angela Estate 2013 Abbott Claim Pinot Noir,92,Paul Gregutt
Angela Estate 2013 Pinot Noir,92,Paul Gregutt
Angove 2014 Family Crest Grenache-Shiraz-Mourv챔dre Red (McLaren Vale),90,Joe Czerwinski
Animale 2014 Pinot Noir,88,Paul Gregutt
Antica Fratta 2006 Riserva Extra Brut Quintessence Sparkling (Franciacorta),90,Kerin O??�eefe
Antica Fratta 2008 Essence Brut Sparkling (Franciacorta),89,Kerin O??�eefe
Antica Fratta 2009 Essence Nature Dosaggio Zero Sparkling (Franciacorta),89,Kerin O??�eefe
Antica Fratta 2009 Essence Ros�?Sparkling (Franciacorta),86,Kerin O??�eefe
Antica Fratta 2010 Essence Saten Chardonnay (Franciacorta),87,Kerin O??�eefe
Antica Fratta NV Brut Sparkling (Franciacorta),89,Kerin O??�eefe
Antonin Rodet 2007 Bourgogne A. Rodet  (Bourgogne),85,Roger Voss
Antonin Rodet 2010 Clos de Thorey Premier Cru  (Nuits-St.-Georges),93,Roger Voss
Ardiri Winery and Vineyards 2012 Pinot Noir (California),85,Jim Gordon
Arnaldo Rivera 2013 Vigna Rionda  (Barolo),87,Kerin O??�eefe
Aubry NV Premier Cru Brut  (Champagne),92,Roger Voss
AuburnJames 2016 Cabernet Sauvignon (Red Hills Lake County),83,Jim Gordon
Aurora 2006 Chardonnay (McLaren Vale),83,Joe Czerwinski
Aveleda NV Casal Garcia Branco White (Vinho Verde),85,Roger Voss
Aveleda NV Casal Garcia Branco White (Vinho Verde),84,Roger Voss
Aveleda NV Casal Garcia Sweet White (Vinho Verde),85,Roger Voss
Ayala NV Brut Majeur  (Champagne),89,Roger Voss
Ayala NV Brut Majeur  (Champagne),90,Roger Voss
Ayala NV Ros�?Majeur Brut  (Champagne),89,Roger Voss
Ayala NV Ros�?Majeur Brut  (Champagne),91,Roger Voss
Azamor 2011 Petite Verdot (Alentejano),90,Roger Voss
Bacalh척a Wines of Portugal 2008 Serras de Azeit찾o White (Terras do Sado),85,Roger Voss
Baccinetti 2009 Saporaia  (Brunello di Montalcino),88,Kerin O??�eefe
Baccinetti 2011 Saporaia  (Brunello di Montalcino),88,Kerin O??�eefe
Bachelder 2014 Wismer-Parke Vineyard Pinot Noir,89,Paul Gregutt
Baglio del Cristo di Campobello 2015 Adenzia White (Sicilia),90,Kerin O??�eefe
Bagrationi 1882 NV Classic Extra Dry Sparkling (Georgia),82,Susan Kostrzewa
Bailly-Lapierre NV Brut  (Cr챕mant de Bourgogne),90,Anne Krebiehl?�MW
Bailly-Lapierre NV Ros�?Brut  (Cr챕mant de Bourgogne),86,Roger Voss
Bailly-Lapierre NV Ros�?Brut  (Cr챕mant de Bourgogne),90,Anne Krebiehl?�MW
Bailly-Lapierre NV R챕serve Brut  (Cr챕mant de Bourgogne),87,Roger Voss
Barefoot Bubbly NV Extra Dry Sparkling (California),87,Jim Gordon
Baron Albert NV L'Universelle Brut  (Champagne),88,Roger Voss
Barone Pizzini 2008 Bagnadore Riserva Non Dosato Sparkling (Franciacorta),93,Kerin O??�eefe
Barone Pizzini 2009 Bagnadore Metodo Classico Riserva Sparkling (Franciacorta),91,Kerin O??�eefe
Barone Pizzini 2009 Nature Sparkling (Franciacorta),92,Kerin O??�eefe
Barone Pizzini 2009 Sat챔n Chardonnay (Franciacorta),90,Kerin O??�eefe
Barone Pizzini 2010 Nature Sparkling (Franciacorta),91,Kerin O??�eefe
Barone Pizzini 2010 Ros�?Pinot Nero (Franciacorta),92,Kerin O??�eefe
Barone Pizzini 2010 Saten Chardonnay (Franciacorta),89,Kerin O??�eefe
Barone Pizzini 2011 Naturae Sparkling (Franciacorta),92,Kerin O??�eefe
Barone Pizzini 2011 Ros�?Pinot Nero (Franciacorta),91,Kerin O??�eefe
Barone Pizzini 2011 Sat챔n Chardonnay (Franciacorta),89,Kerin O??�eefe
Barone Pizzini 2012 Naturae Metodo Classico Sparkling (Franciacorta),91,Kerin O??�eefe
Barone Pizzini 2012 Ros�?Pinot Nero (Franciacorta),89,Kerin O??�eefe
Barone Pizzini 2012 Sat챕n Metodo Classico Chardonnay (Franciacorta),88,Kerin O??�eefe
Barone Pizzini NV Animante Sparkling (Franciacorta),88,Kerin O??�eefe
Baron-Fuent�?NV Esprit Brut  (Champagne),88,Roger Voss
Baron-Fuent�?NV Esprit Brut  (Champagne),89,Roger Voss
Baron-Fuent�?NV Esprit Brut  (Champagne),90,Roger Voss
Barra 2011 Estate Grown Cabernet Sauvignon (Mendocino),81,Virginie Boone
Barra 2012 Pinot Noir (Mendocino),87,Jim Gordon
Barra 2016 Estate Grown Ros�?(Mendocino),85,Jim Gordon
Barros NV Special Reserve  (Port),84,Roger Voss
Barta 2013 ?�reg Kir찼ly D?�l??Tokaji Szamorodni  (Tokaji),91,Jeff Jenssen
Bartho Eksteen 2016 Cape Winemakers Guild Vloekskoot Wooded Sauvignon Blanc,91,Lauren Buzzeo
Barton & Guestier 2005 Thomas Barton R챕serve  (Sauternes),86,Roger Voss
Barton & Guestier 2008 B&G; Reserve Chardonnay (Vin de Pays d'Oc),87,Lauren Buzzeo
Barton & Guestier 2009 Thomas Barton R챕serve  (Sauternes),88,Roger Voss
Barton & Guestier 2012 The Pairing Collection Lobster & Shrimp  (Muscadet S챔vre et Maine),84,Roger Voss
Barton & Guestier 2012 The Pairing Collection Salmon & Trout  (Bordeaux Blanc),85,Roger Voss
Barton & Guestier 2015 Passeport Lobster & Shrimp  (Muscadet),86,Roger Voss
Barton & Guestier 2016 B&G R챕serve Chardonnay (Pays d'Oc),84,Lauren Buzzeo
Barton & Guestier 2016 B&G R챕serve Grenache Noir (Pays d'Oc),86,Lauren Buzzeo
Bati??2007 Valentino Sweet Red Merlot-Cabernet Franc (Vipavska Dolina),90,Jeff Jenssen
Bati??2009 Angel Grande Cuv챕e Rezerva White (Vipavska Dolina),89,Jeff Jenssen
Bati??2009 Sauvignon (Vipavska Dolina),88,Jeff Jenssen
Bati??2010 Cabernet Franc (Vipavska Dolina),89,Jeff Jenssen
Bati??2012 Semi-Dry Ros�?(Vipavska Dolina),88,Jeff Jenssen
Bava 2014 Piano Alto Barbera,93,Kerin O??�eefe
Beacon Hill 2015 Riesling,85,Paul Gregutt
Beaumont des Cray챔res NV Grand Ros�?Brut  (Champagne),88,Roger Voss
Becker 2012 Estate Reserve Merlot,87,Fiona Adams
Becker 2014 Prairie Rotie Red,86,Alexander Peartree
Bellavista 2006 Gran Cuv챕e Pas Oper�?Sparkling (Franciacorta),92,Kerin O??�eefe
Bellavista 2007 Gran Cuv챕e Brut Sparkling (Franciacorta),90,Kerin O??�eefe
Bellavista 2007 Pas Oper�?Extra Brut Sparkling (Franciacorta),91,Kerin O??�eefe
Bellavista 2008 Brut Sparkling (Franciacorta),88,Kerin O??�eefe
Bellavista 2009 Pas Oper�?Extra Brut Sparkling (Franciacorta),89,Kerin O??�eefe
Bellavista 2009 Ros�?Sparkling (Franciacorta),88,Kerin O??�eefe
Bellavista 2009 Saten Chardonnay (Franciacorta),89,Kerin O??�eefe
Bellavista 2010 La Scala Brut Sparkling (Franciacorta),89,Kerin O??�eefe
Bellavista 2011 Ros�?Brut Sparkling (Franciacorta),86,Kerin O??�eefe
Bellavista 2011 Sat챕n Chardonnay (Franciacorta),88,Kerin O??�eefe
Bellavista NV Alma Cuv챕e Brut Sparkling (Franciacorta),88,Kerin O??�eefe
Bellavista NV Cuv챕e Brut Sparkling (Franciacorta),90,Kerin O??�eefe
Bellwether 2012 A&D Vineyard Dry Riesling (Finger Lakes),86,Anna Lee C. Iijima
Bellwether 2012 A&D Vineyard Wild Ferment Riesling (Finger Lakes),84,Anna Lee C. Iijima
Bending Branch 2014 Riven Rock Vineyard Viognier,84,Alexander Peartree
Bending Branch 2015 Comfortage Hoover Valley Vineyard Roussanne,86,Alexander Peartree
Benovia 2012 Blanc de Blancs Chardonnay (Russian River Valley),93,Virginie Boone
Benvenuto de la Serna 2010 Trisagio Malbec-Petit Verdot-Tannat Red (Valle de Uco),91,Michael Schachner
Benvenuto de la Serna 2011 Malbec (Valle de Uco),89,Michael Schachner
Benvenuto de la Serna 2011 Trisagio Red (Valle de Uco),92,Michael Schachner
Berberana NV Gran Tradici처n Brut Sparkling (Cava),83,Michael Schachner
Berberana NV Gran Tradici처n Brut Sparkling (Cava),86,Michael Schachner
Bergstr철m 2010 Gregory Ranch Pinot Noir,90,Paul Gregutt
Bergstr철m 2010 Shea Vineyard Pinot Noir,90,Paul Gregutt
Bergstr철m 2013 Gregory Ranch Pinot Noir,92,Paul Gregutt
Bergstr철m 2013 Shea Vineyard Pinot Noir,94,Paul Gregutt
Bergstr철m 2014 Gregory Ranch Pinot Noir,92,Paul Gregutt
Bergstr철m 2014 Shea Vineyard Pinot Noir,94,Paul Gregutt
Bergstr철m 2015 Gregory Ranch Pinot Noir,91,Paul Gregutt
Bergstr철m 2015 Shea Vineyard Pinot Noir,94,Paul Gregutt
Berlucchi NV '61 Ros�?Sparkling (Franciacorta),87,Kerin O??�eefe
Besserat de Bellefon NV Cuv챕e des Moines Brut  (Champagne),85,Michael Schachner
Besserat de Bellefon NV Cuv챕e des Moines Brut  (Champagne),88,Roger Voss
Besserat de Bellefon NV Cuv챕e des Moines Brut  (Champagne),89,Roger Voss
Besserat de Bellefon NV Cuv챕e des Moines Brut Ros�? (Champagne),84,Roger Voss
Besserat de Bellefon NV Cuv챕e des Moines Brut Ros�? (Champagne),87,Michael Schachner
Beyerskloof 2011 Chenin Blanc-Pinotage White (Coastal Region),86,Lauren Buzzeo
BiancaVigna NV Brut  (Prosecco),88,Kerin O??�eefe
BiancaVigna NV Brut  (Prosecco),90,Kerin O??�eefe
Big Table Farm 2013 Pinot Noir,89,Paul Gregutt
Big Table Farm 2014 Pinot Noir,89,Paul Gregutt
Billecart-Salmon NV Brut Ros�? (Champagne),89,Roger Voss
Billecart-Salmon NV Brut Ros�? (Champagne),92,Roger Voss
Billecart-Salmon NV Brut Sous Bois  (Champagne),91,Roger Voss
Billecart-Salmon NV Brut Sous Bois  (Champagne),92,Roger Voss
Billecart-Salmon NV Extra Brut  (Champagne),88,Roger Voss
Billecart-Salmon NV Extra Brut  (Champagne),91,Roger Voss
Billecart-Salmon NV Grand Cru Blanc de Blancs Brut Chardonnay (Champagne),93,Roger Voss
Bindi Sergardi 2013 La Girlanda  (Chianti Classico),86,Kerin O??�eefe
Bishop Creek Cellars 2007 Whole Cluster Reserve Pinot Noir,88,Paul Gregutt
Biutiful NV Brut Sparkling (Cava),86,Michael Schachner
Biutiful NV Brut Sparkling (Cava),87,Michael Schachner
Blakeslee 2009 Estate Chardonnay,89,Paul Gregutt
Bloomer Creek 2008 White Horse Unfined & Unfiltered Red (Finger Lakes),88,Anna Lee C. Iijima
Bloomer Creek 2009 Vintner's Select Unfined & Unfiltered Pinot Noir (Finger Lakes),89,Anna Lee C. Iijima
Bloomer Creek 2010 Unfined & Unfiltered Pinot Noir (Finger Lakes),90,Anna Lee C. Iijima
Bloomer Creek 2010 White Horse Red Unfined & Unfiltered Cabernet Franc-Merlot (Finger Lakes),90,Anna Lee C. Iijima
Bloomer Creek 2011 Unfined & Unfiltered Chardonnay (Finger Lakes),85,Anna Lee C. Iijima
Bloomer Creek 2011 Vin d'챕t�?Unfined & Unfiltered Cabernet Franc (Finger Lakes),90,Anna Lee C. Iijima
Boatique 2012 Cabernet Sauvignon (Red Hills Lake County),90,Jim Gordon
Boatique 2013 Malbec (Red Hills Lake County),92,Jim Gordon
Boatique 2014 Malbec (Red Hills Lake County),94,Jim Gordon
Boatique 2014 Musque Sauvignon Blanc (Big Valley District-Lake County),87,Jim Gordon
Boatique 2014 Petite Sirah (Red Hills Lake County),88,Jim Gordon
Boatique 2014 Sauvignon Blanc (Big Valley District-Lake County),90,Jim Gordon
Boatique 2016 Estate Grown Ros�?(Red Hills Lake County),90,Jim Gordon
Bodega de Edgar 2014 Laetitia Vineyard Tempranillo (Arroyo Grande Valley),91,Matt Kettmann
Bodegas Dios Baco S.L. NV ?�lite Oloroso Sherry (Jerez),92,Michael Schachner
Bodegas Dios Baco S.L. NV Amontillado Sherry (Jerez),91,Michael Schachner
Bodegas Dios Baco S.L. NV Buler챠a Fino Sherry (Jerez),85,Michael Schachner
Bodegas Dios Baco S.L. NV Cream Sherry (Jerez),87,Michael Schachner
Bodegas Dios Baco S.L. NV Cream Sherry (Jerez),88,Michael Schachner
Bodegas Dios Baco S.L. NV Cream Sherry (Jerez),90,Michael Schachner
Bodegas Dios Baco S.L. NV Esnobista Moscatel Pasa Sherry (Jerez),88,Michael Schachner
Bodegas Dios Baco S.L. NV Fino Sherry Sherry (Jerez),87,Michael Schachner
Bodegas Dios Baco S.L. NV Manzanilla Ri�?Pit�?Sherry (Manzanilla-Sanl첬car de Barrameda),88,Michael Schachner
Bodegas Dios Baco S.L. NV Manzanilla Sherry (Jerez),85,Michael Schachner
Bodegas Dios Baco S.L. NV Manzanilla Sherry (Jerez),89,Michael Schachner
Bodegas Dios Baco S.L. NV Manzanilla Sherry (Jerez),91,Michael Schachner
Bodegas Dios Baco S.L. NV Oloroso Sherry (Jerez),89,Michael Schachner
Bodegas Dios Baco S.L. NV Oxford 1.970 Pedro Xim챕nez (Jerez),94,Michael Schachner
Bodegas Dios Baco S.L. NV Pedro Xim챕nez (Jerez),88,Michael Schachner
Bodegas Dios Baco S.L. NV Pedro Xim챕nez (Jerez),92,Michael Schachner
Bodegas la Casa de L첬colo 2010 C찼tulo Garnacha (Navarra),82,Michael Schachner
Bodegas Muriel 2011 JME  (Rioja),90,Michael Schachner
Bodegas Valdemar 2005 Inspiraci처n Valdemar  (Rioja),87,Michael Schachner
Bodegas Virgen del ?�guila 2010 Circles Syrah & Garnacha Syrah-Grenache (Cari챰ena),80,Michael Schachner
Bohigas NV Gran Reserva Brut Nature Sparkling (Cava),84,Michael Schachner
Boizel NV Blanc de Blancs Brut Chardonnay (Champagne),88,Roger Voss
Boizel NV Blanc de Blancs Brut Chardonnay (Champagne),91,Roger Voss
Boizel NV Brut R챕serve  (Champagne),90,Roger Voss
Boizel NV Ros�?Brut  (Champagne),87,Roger Voss
Boizel NV Ultime Extra Brut  (Champagne),91,Roger Voss
Bolla NV Extra Dry  (Prosecco),87,Kerin O??�eefe
Bollinger NV Ros�?Brut  (Champagne),90,Roger Voss
Bollinger NV Special Cuv챕e Brut  (Champagne),86,Michael Schachner
Bollinger NV Special Cuv챕e Brut  (Champagne),90,Joe Czerwinski
Bollinger NV Special Cuv챕e Brut  (Champagne),90,Michael Schachner
Bollinger NV Special Cuv챕e Brut  (Champagne),92,Paul Gregutt
Bollinger NV Special Cuv챕e Brut  (Champagne),93,Roger Voss
Bollinger NV Special Cuv챕e Brut  (Champagne),94,Roger Voss
Bolsignano 2009 Grazia  (Brunello di Montalcino),91,Kerin O??�eefe
Bolsignano 2010 Grazia  (Brunello di Montalcino),94,Kerin O??�eefe
Bomb 2009 Pinot Noir,86,Paul Gregutt
Borges 2008 Lello Ros�?Ros�?(Douro),84,Roger Voss
Borges NV Gat찾o White (Vinho Verde),82,Roger Voss
Borges NV Gat찾o White (Vinho Verde),83,Roger Voss
Borges NV White  (Port),85,Roger Voss
Borgoluce NV Brut  (Valdobbiadene Prosecco Superiore),90,Kerin O??�eefe
Borgoluce NV Gaiante Glera,88,Kerin O??�eefe
Bortomiol 2016 Ius Naturae Organic Brut  (Valdobbiadene Prosecco Superiore),88,Kerin O??�eefe
Bosio 2010 Boschi dei Signori  (Barolo),87,Kerin O??�eefe
Bosio 2012  Nebbiolo d'Alba,89,Kerin O??�eefe
Bott Fr챔res NV Blanc de Noirs Sparkling (Cr챕mant d'Alsace),92,Anne Krebiehl?�MW
Bouchard A챤n�?et Fils 2014 Clos du Roi Premier Cru  (Beaune),91,Roger Voss
Bouchard A챤n�?et Fils 2015  Savigny-l챔s-Beaune,89,Roger Voss
Bouchard A챤n�?et Fils 2015 Clos du Roi Premier Cru  (Beaune),93,Roger Voss
Bouchard A챤n�?et Fils 2015 Le Porusot Premier Cru  (Meursault),91,Roger Voss
Bouchard P챔re & Fils 2007 Beaune du Ch창teau Premier Cru  (Beaune),89,Roger Voss
Bouchard P챔re & Fils 2008 Beaune du Ch창teau Premier Cru  (Beaune),86,Roger Voss
Boudreaux Cellars 2007 Champoux & Loess Vineyards Reserve Cabernet Sauvignon (Washington),95,Paul Gregutt
Boudreaux Cellars 2008 Champoux & Loess Vineyards Reserve Cabernet Sauvignon (Washington),90,Paul Gregutt
Bouvet-Ladubay NV Signature Brut Chenin Blanc-Chardonnay (Vin Mousseux),84,Roger Voss
Bowers Harbor 2014 Block II & Langley Riesling (Old Mission Peninsula),88,Alexander Peartree
Brander 2015 au Naturel Sauvignon Blanc,93,Matt Kettmann
Brander 2015 Bouchet Red,90,Matt Kettmann
Brander 2015 Buttonwood Vineyard Sauvignon Blanc,89,Matt Kettmann
Brander 2015 Cabernet Sauvignon,90,Matt Kettmann
Brander 2015 Coquelicot Vineyard Sauvignon Blanc,90,Matt Kettmann
Brander 2015 Cuv챕e Nicolas Sauvignon Blanc-Semillon,90,Matt Kettmann
Brander 2015 La Presa Vineyard Sauvignon Blanc,88,Matt Kettmann
Brander 2015 Merlot,88,Matt Kettmann
Brander 2015 Mesa Verde Vineyard Sauvignon Blanc,88,Matt Kettmann
Brander 2016 Sauvignon Blanc,90,Matt Kettmann
Breathless NV Blanc de Noirs Sparkling (North Coast),88,Virginie Boone
Breathless NV Blanc de Noirs Sparkling (Sonoma County),89,Jesica Vargas
Breathless NV Blanc de Noirs Sparkling (Sonoma County),89,Christina Pickard
Brian Benson 2013 S&M Caliza Vineyard Syrah-Mourv챔dre (Paso Robles),93,Matt Kettmann
Brian Benson 2013 S&M James Berry Vineyard Syrah-Mourv챔dre (Paso Robles),91,Matt Kettmann
Brian Carter Cellars 2004 L'Etalon Red (Columbia Valley (WA)),91,Paul Gregutt
Brian Carter Cellars 2004 Solesce Red Wine Red (Columbia Valley (WA)),90,Paul Gregutt
Brian Carter Cellars 2005 Byzance Red Wine Red (Columbia Valley (WA)),89,Paul Gregutt
Brian Carter Cellars 2005 L'Etalon Red Wine Red (Columbia Valley (WA)),89,Paul Gregutt
Brian Carter Cellars 2006 Abracadabra Red Red (Columbia Valley (WA)),87,Paul Gregutt
Brian Carter Cellars 2006 Solesce Red (Yakima Valley),91,Paul Gregutt
Brian Carter Cellars 2007 Byzance Red (Columbia Valley (WA)),87,Paul Gregutt
Brian Carter Cellars 2007 Corrida Red Wine Red (Columbia Valley (WA)),93,Paul Gregutt
Brian Carter Cellars 2007 Le Coursier Red (Columbia Valley (WA)),91,Paul Gregutt
Brian Carter Cellars 2007 Tuttorossso Red (Yakima Valley),88,Paul Gregutt
Brian Carter Cellars 2008 Byzance Red (Columbia Valley (WA)),89,Paul Gregutt
Brian Carter Cellars 2008 Corrida Red (Columbia Valley (WA)),89,Paul Gregutt
Brian Carter Cellars 2008 Oriana White White (Columbia Valley (WA)),90,Paul Gregutt
Brian Carter Cellars 2008 Solesce Red (Yakima Valley),91,Paul Gregutt
Brian Carter Cellars 2008 Stone Tree Vineyard 1 Cabernet Sauvignon (Wahluke Slope),92,Paul Gregutt
Brian Carter Cellars 2008 Trentenaire Red (Columbia Valley (WA)),91,Paul Gregutt
Brian Carter Cellars 2008 Tuttorosso Red (Yakima Valley),90,Paul Gregutt
Brian Carter Cellars 2009 Byzance Red (Columbia Valley (WA)),91,Paul Gregutt
Brian Carter Cellars 2009 Le Coursier Red (Columbia Valley (WA)),92,Paul Gregutt
Brian Carter Cellars 2009 Opulento Dessert Wine Touriga-Souzao-Tinto C찾o Port (Yakima Valley),94,Paul Gregutt
Brian Carter Cellars 2009 Oriana White (Yakima Valley),88,Paul Gregutt
Brian Carter Cellars 2010 1 Grenache (Columbia Valley (WA)),91,Paul Gregutt
Brian Carter Cellars 2010 Corrida Red (Columbia Valley (WA)),88,Paul Gregutt
Brian Carter Cellars 2010 Le Coursier Red (Columbia Valley (WA)),91,Paul Gregutt
Brian Carter Cellars 2010 Oriana White (Yakima Valley),91,Paul Gregutt
Brian Carter Cellars 2010 Solesce Stone Tree Vineyard Red (Wahluke Slope),92,Sean P. Sullivan
Brian Carter Cellars 2010 Trentenaire Red (Yakima Valley),90,Paul Gregutt
Brian Carter Cellars 2010 Tuttorosso Red (Yakima Valley),88,Sean P. Sullivan
Brian Carter Cellars 2011 Byzance Red (Columbia Valley (WA)),91,Sean P. Sullivan
Brian Carter Cellars 2011 Corrida Red (Yakima Valley),88,Sean P. Sullivan
Brian Carter Cellars 2011 Le Coursier Red (Columbia Valley (WA)),91,Sean P. Sullivan
Brian Carter Cellars 2011 One Shaw Vineyard Cabernet Sauvignon (Red Mountain),91,Sean P. Sullivan
Brian Carter Cellars 2011 Opulento Dessert Wine Red (Yakima Valley),91,Paul Gregutt
Brian Carter Cellars 2011 Oriana White (Columbia Valley (WA)),92,Paul Gregutt
Brian Carter Cellars 2011 Trentenaire Red (Columbia Valley (WA)),92,Sean P. Sullivan
Brian Carter Cellars 2011 Tuttorosso Red (Yakima Valley),88,Sean P. Sullivan
Brian Carter Cellars 2012 Corrida Red (Columbia Valley (WA)),90,Sean P. Sullivan
Brian Carter Cellars 2012 Le Coursier Red (Columbia Valley (WA)),91,Sean P. Sullivan
Brian Carter Cellars 2012 Opulento Red (Yakima Valley),89,Sean P. Sullivan
Brian Carter Cellars 2012 Oriana White (Yakima Valley),91,Paul Gregutt
Brian Carter Cellars 2012 Solesce Red (Columbia Valley (WA)),92,Sean P. Sullivan
Brian Carter Cellars 2012 Trentenaire Red (Columbia Valley (WA)),91,Sean P. Sullivan
Brian Carter Cellars 2012 Tuttorosso Red (Yakima Valley),90,Sean P. Sullivan
Brian Carter Cellars 2013 Abracadabra Red (Columbia Valley (WA)),88,Sean P. Sullivan
Brian Carter Cellars 2013 ACE Red (Columbia Valley (WA)),90,Sean P. Sullivan
Brian Carter Cellars 2013 Byzance Red (Columbia Valley (WA)),89,Sean P. Sullivan
